Data,Taxa de cambio - Livre - Dolar americano (venda) - diario - u.m.c./US$
30/08/2021,"5,1952"
31/08/2021,"5,1433"
01/09/2021,"5,1576"
02/09/2021,"5,1735"
03/09/2021,"5,1685"
06/09/2021,"5,1773"
08/09/2021,"5,2524"
09/09/2021,"5,2825"
10/09/2021,"5,2158"
13/09/2021,"5,219"
14/09/2021,"5,226"
15/09/2021,"5,2576"
16/09/2021,"5,2594"
17/09/2021,"5,3103"
20/09/2021,"5,3332"
21/09/2021,"5,3044"
22/09/2021,"5,2783"
23/09/2021,"5,2891"
24/09/2021,"5,3435"
27/09/2021,"5,3478"
28/09/2021,"5,4206"
29/09/2021,"5,4173"
30/09/2021,"5,4394"
01/10/2021,"5,3911"
04/10/2021,"5,4204"
05/10/2021,"5,4611"
06/10/2021,"5,5097"
07/10/2021,"5,514"
08/10/2021,"5,5084"
11/10/2021,"5,5161"
13/10/2021,"5,5471"
14/10/2021,"5,4988"
15/10/2021,"5,451"
18/10/2021,"5,5193"
19/10/2021,"5,5521"
20/10/2021,"5,5571"
21/10/2021,"5,6423"
22/10/2021,"5,7117"
25/10/2021,"5,5973"
26/10/2021,"5,58"
27/10/2021,"5,5667"
28/10/2021,"5,6124"
29/10/2021,"5,643"
01/11/2021,"5,6694"
03/11/2021,"5,6672"
04/11/2021,"5,5942"
05/11/2021,"5,5455"
08/11/2021,"5,5627"
09/11/2021,"5,4957"
10/11/2021,"5,459"
11/11/2021,"5,4171"
12/11/2021,"5,4199"
16/11/2021,"5,4772"
17/11/2021,"5,4993"
18/11/2021,"5,547"
19/11/2021,"5,5584"
22/11/2021,"5,5841"
23/11/2021,"5,6456"
24/11/2021,"5,6027"
25/11/2021,"5,574"
26/11/2021,"5,5865"
29/11/2021,"5,6118"
30/11/2021,"5,6199"
01/12/2021,"5,6168"
02/12/2021,"5,6345"
03/12/2021,"5,6432"
06/12/2021,"5,6877"
07/12/2021,"5,6411"
08/12/2021,"5,5779"
09/12/2021,"5,5564"
10/12/2021,"5,5931"
13/12/2021,"5,6357"
14/12/2021,"5,6461"
15/12/2021,"5,7127"
16/12/2021,"5,6963"
17/12/2021,"5,6959"
20/12/2021,"5,7055"
21/12/2021,"5,7372"
22/12/2021,"5,7201"
23/12/2021,"5,691"
24/12/2021,"5,6591"
27/12/2021,"5,665"
28/12/2021,"5,6438"
29/12/2021,"5,6619"
30/12/2021,"5,5805"
31/12/2021,"5,5805"
03/01/2022,"5,6309"
04/01/2022,"5,6776"
05/01/2022,"5,6628"
06/01/2022,"5,7042"
07/01/2022,"5,6753"
10/01/2022,"5,6736"
11/01/2022,"5,6351"
12/01/2022,"5,5611"
13/01/2022,"5,5246"
14/01/2022,"5,5349"
17/01/2022,"5,5058"
18/01/2022,"5,5213"
19/01/2022,"5,4978"
20/01/2022,"5,4166"
21/01/2022,"5,4401"
24/01/2022,"5,491"
25/01/2022,"5,4971"
26/01/2022,"5,4324"
27/01/2022,"5,3812"
28/01/2022,"5,3954"
31/01/2022,"5,3574"
01/02/2022,"5,281"
02/02/2022,"5,2956"
03/02/2022,"5,3025"
04/02/2022,"5,3284"
07/02/2022,"5,2913"
08/02/2022,"5,2699"
09/02/2022,"5,2735"
10/02/2022,"5,2101"
11/02/2022,"5,1987"
14/02/2022,"5,2106"
15/02/2022,"5,1881"
16/02/2022,"5,163"
17/02/2022,"5,1565"
18/02/2022,"5,1339"
21/02/2022,"5,0997"
22/02/2022,"5,0611"
23/02/2022,"5,0143"
24/02/2022,"5,1174"
25/02/2022,"5,1394"
02/03/2022,"5,1347"
03/03/2022,"5,0479"
04/03/2022,"5,0758"
07/03/2022,"5,0579"
08/03/2022,"5,0903"
09/03/2022,"5,0094"
10/03/2022,"5,0513"
11/03/2022,"5,0255"
14/03/2022,"5,0647"
15/03/2022,"5,1314"
16/03/2022,"5,1287"
17/03/2022,"5,0764"
18/03/2022,"5,0411"
21/03/2022,"4,9666"
22/03/2022,"4,9208"
23/03/2022,"4,8704"
24/03/2022,"4,8067"
25/03/2022,"4,7782"
28/03/2022,"4,7905"
29/03/2022,"4,7486"
30/03/2022,"4,7497"
31/03/2022,"4,7378"
01/04/2022,"4,6984"
04/04/2022,"4,6175"
05/04/2022,"4,64"
06/04/2022,"4,6967"
07/04/2022,"4,7422"
08/04/2022,"4,7513"
11/04/2022,"4,7025"
12/04/2022,"4,6483"
13/04/2022,"4,6811"
14/04/2022,"4,7158"
18/04/2022,"4,6746"
