Data,Taxa de cambio - Livre - Dolar americano (venda) - diario - u.m.c./US$
19/09/2024,"5,4189"
20/09/2024,"5,4775"
23/09/2024,"5,5446"
24/09/2024,"5,4702"
25/09/2024,"5,4736"
26/09/2024,"5,4412"
27/09/2024,"5,4431"
30/09/2024,"5,4481"
01/10/2024,"5,4521"
02/10/2024,"5,4305"
03/10/2024,"5,485"
04/10/2024,"5,4686"
07/10/2024,"5,4626"
08/10/2024,"5,5197"
09/10/2024,"5,5737"
10/10/2024,"5,5819"
11/10/2024,"5,6263"
14/10/2024,"5,6045"
15/10/2024,"5,6378"
16/10/2024,"5,6749"
17/10/2024,"5,6758"
18/10/2024,"5,6672"
21/10/2024,"5,7068"
22/10/2024,"5,6958"
23/10/2024,"5,7149"
24/10/2024,"5,7087"
25/10/2024,"5,6969"
28/10/2024,"5,6988"
29/10/2024,"5,714"
30/10/2024,"5,7801"
31/10/2024,"5,7779"
01/11/2024,"5,8073"
04/11/2024,"5,7898"
05/11/2024,"5,7846"
06/11/2024,"5,7648"
07/11/2024,"5,6624"
08/11/2024,"5,7648"
11/11/2024,"5,798"
12/11/2024,"5,7694"
13/11/2024,"5,7713"
14/11/2024,"5,7885"
18/11/2024,"5,7603"
19/11/2024,"5,7743"
21/11/2024,"5,8173"
22/11/2024,"5,8124"
25/11/2024,"5,8002"
26/11/2024,"5,799"
27/11/2024,"5,8291"
28/11/2024,"5,9871"
29/11/2024,"6,0535"
02/12/2024,"6,0634"
03/12/2024,"6,0707"
04/12/2024,"6,0581"
05/12/2024,"5,9849"
06/12/2024,"6,0293"
09/12/2024,"6,057"
10/12/2024,"6,0529"
11/12/2024,"6,032"
12/12/2024,"5,9408"
13/12/2024,"6,04"
16/12/2024,"6,0509"
17/12/2024,"6,1685"
18/12/2024,"6,1624"
19/12/2024,"6,1841"
20/12/2024,"6,078"
23/12/2024,"6,1612"
24/12/2024,"6,1541"
26/12/2024,"6,1656"
27/12/2024,"6,1991"
30/12/2024,"6,1923"
31/12/2024,"6,1923"
02/01/2025,"6,2086"
03/01/2025,"6,1563"
06/01/2025,"6,1119"
07/01/2025,"6,0741"
08/01/2025,"6,1321"
09/01/2025,"6,0896"
10/01/2025,"6,0965"
13/01/2025,"6,1079"
14/01/2025,"6,0671"
15/01/2025,"6,0377"
16/01/2025,"6,0322"
17/01/2025,"6,0609"
20/01/2025,"6,0498"
21/01/2025,"6,044"
22/01/2025,"5,9674"
23/01/2025,"5,9399"
24/01/2025,"5,8925"
27/01/2025,"5,9272"
28/01/2025,"5,893"
29/01/2025,"5,8596"
30/01/2025,"5,9006"
31/01/2025,"5,8301"
03/02/2025,"5,8687"
04/02/2025,"5,7927"
05/02/2025,"5,7997"
06/02/2025,"5,7856"
07/02/2025,"5,7557"
10/02/2025,"5,7808"
11/02/2025,"5,7788"
12/02/2025,"5,7711"
13/02/2025,"5,7788"
14/02/2025,"5,7283"
17/02/2025,"5,7105"
18/02/2025,"5,6979"
19/02/2025,"5,7087"
20/02/2025,"5,7019"
21/02/2025,"5,7027"
24/02/2025,"5,7258"
25/02/2025,"5,7779"
26/02/2025,"5,7757"
27/02/2025,"5,8228"
28/02/2025,"5,8488"
05/03/2025,"5,7914"
06/03/2025,"5,7489"
07/03/2025,"5,7688"
10/03/2025,"5,793"
11/03/2025,"5,8346"
12/03/2025,"5,8268"
13/03/2025,"5,8131"
14/03/2025,"5,7419"
17/03/2025,"5,7082"
18/03/2025,"5,6852"
19/03/2025,"5,6657"
20/03/2025,"5,6628"
21/03/2025,"5,7241"
24/03/2025,"5,7403"
25/03/2025,"5,6992"
26/03/2025,"5,7298"
27/03/2025,"5,7474"
28/03/2025,"5,766"
31/03/2025,"5,7422"
01/04/2025,"5,7051"
02/04/2025,"5,6923"
03/04/2025,"5,6067"
04/04/2025,"5,7777"
07/04/2025,"5,8877"
08/04/2025,"5,9368"
09/04/2025,"6,0605"
10/04/2025,"5,9115"
11/04/2025,"5,8737"
14/04/2025,"5,8425"
15/04/2025,"5,8707"
16/04/2025,"5,8808"
17/04/2025,"5,8559"
22/04/2025,"5,7496"
23/04/2025,"5,688"
24/04/2025,"5,6738"
25/04/2025,"5,6846"
28/04/2025,"5,6681"
29/04/2025,"5,6467"
30/04/2025,"5,6608"
02/05/2025,"5,6394"
05/05/2025,"5,652"
06/05/2025,"5,721"
07/05/2025,"5,7375"
08/05/2025,"5,686"
09/05/2025,"5,6511"
12/05/2025,"5,6822"
13/05/2025,"5,6262"
14/05/2025,"5,61"
15/05/2025,"5,6328"
16/05/2025,"5,6925"
19/05/2025,"5,6591"
20/05/2025,"5,662"
21/05/2025,"5,6571"
22/05/2025,"5,639"
23/05/2025,"5,6932"
26/05/2025,"5,6619"
27/05/2025,"5,6539"
28/05/2025,"5,6936"
29/05/2025,"5,6559"
30/05/2025,"5,7087"
02/06/2025,"5,6937"
03/06/2025,"5,6694"
04/06/2025,"5,6332"
05/06/2025,"5,5969"
06/06/2025,"5,5947"
09/06/2025,"5,576"
10/06/2025,"5,5557"
11/06/2025,"5,539"
12/06/2025,"5,5388"
13/06/2025,"5,5652"
16/06/2025,"5,5123"
17/06/2025,"5,4773"
18/06/2025,"5,4879"
20/06/2025,"5,4957"
23/06/2025,"5,5213"
24/06/2025,"5,4938"
25/06/2025,"5,5427"
26/06/2025,"5,5145"
27/06/2025,"5,4759"
30/06/2025,"5,4571"
01/07/2025,"5,4511"
02/07/2025,"5,4512"
03/07/2025,"5,4208"
04/07/2025,"5,409"
07/07/2025,"5,4552"
08/07/2025,"5,4571"
09/07/2025,"5,4626"
10/07/2025,"5,5433"
11/07/2025,"5,5722"
14/07/2025,"5,5595"
15/07/2025,"5,5576"
16/07/2025,"5,5722"
17/07/2025,"5,5737"
18/07/2025,"5,5466"
21/07/2025,"5,5625"
22/07/2025,"5,5709"
23/07/2025,"5,5537"
24/07/2025,"5,5239"
25/07/2025,"5,5426"
28/07/2025,"5,5877"
29/07/2025,"5,5764"
30/07/2025,"5,6034"
31/07/2025,"5,6021"
01/08/2025,"5,5436"
04/08/2025,"5,5113"
05/08/2025,"5,5119"
06/08/2025,"5,4802"
07/08/2025,"5,4638"
08/08/2025,"5,4254"
11/08/2025,"5,4473"
12/08/2025,"5,4052"
13/08/2025,"5,3928"
14/08/2025,"5,4095"
15/08/2025,"5,3928"
18/08/2025,"5,4155"
19/08/2025,"5,4716"
20/08/2025,"5,4726"
21/08/2025,"5,4828"
22/08/2025,"5,4392"
25/08/2025,"5,4174"
26/08/2025,"5,4218"
27/08/2025,"5,4428"
28/08/2025,"5,4115"
29/08/2025,"5,4264"
01/09/2025,"5,4378"
02/09/2025,"5,468"
03/09/2025,"5,4485"
04/09/2025,"5,4587"
05/09/2025,"5,3968"
08/09/2025,"5,4278"
09/09/2025,"5,4278"
10/09/2025,"5,4123"
11/09/2025,"5,3858"
12/09/2025,"5,3677"
15/09/2025,"5,3208"
16/09/2025,"5,3096"
17/09/2025,"5,3011"
18/09/2025,"5,301"
19/09/2025,"5,3276"
22/09/2025,"5,3457"
23/09/2025,"5,3063"
24/09/2025,"5,3112"
25/09/2025,"5,3425"
26/09/2025,"5,3445"
29/09/2025,"5,3229"
30/09/2025,"5,3186"
01/10/2025,"5,3208"
Fonte,Sisbacen PTAX800
